(0.0, 0.0, -11950.822045544784)	(0.0, 0.0, 11838.960955787901)
(0.0, 0.0, -10449.890469719609)	(0.0, 0.0, 10191.191283740629)
(0.0, 0.0, -8829.26514349998)	(0.0, 0.0, 9053.2700426089)
(0.0, 0.0, -7848.769503330511)	(0.0, 0.0, 7996.437478532236)
(0.0, 0.0, -7429.927101781465)	(0.0, 0.0, 7468.082702940962)
(0.0, 0.0, -6526.887843105273)	(0.0, 0.0, 7309.983428473484)
(0.0, 0.0, -5879.985280283453)	(0.0, 0.0, 6132.052267752002)
(0.0, 0.0, -5183.336651603762)	(0.0, 0.0, 5718.580011399817)
(0.0, 0.0, -5541.438484591359)	(0.0, 0.0, 5514.75191050132)
(0.0, 0.0, -4856.669841718216)	(0.0, 0.0, 4836.202131661003)
(0.0, 0.0, -4962.64181082201)	(0.0, 0.0, 5234.5114274111265)
(0.0, 0.0, -4320.007576853564)	(0.0, 0.0, 4580.486828048268)
(0.0, 0.0, -4203.987408158601)	(0.0, 0.0, 4000.675680430053)
(0.0, 0.0, -4280.61952626139)	(0.0, 0.0, 3882.145130671284)
(0.0, 0.0, -3918.715350107448)	(0.0, 0.0, 3450.541788306373)
(0.0, 0.0, -3515.0282140032978)	(0.0, 0.0, 3962.7333929078027)
(0.0, 0.0, -3209.9973845379245)	(0.0, 0.0, 3252.387399147439)
(0.0, 0.0, -3153.69810117726)	(0.0, 0.0, 3280.866589770599)
(0.0, 0.0, -3173.2541890776783)	(0.0, 0.0, 3194.632102965545)
(0.0, 0.0, -2756.1300858437894)	(0.0, 0.0, 3330.70370771253)
(0.0, 0.0, -2702.258682748827)	(0.0, 0.0, 2357.217812012322)
(0.0, 0.0, -2826.3666185698567)	(0.0, 0.0, 2406.901895312695)
(0.0, 0.0, -2219.885920128014)	(0.0, 0.0, 3013.976322602205)
(0.0, 0.0, -2645.211816960855)	(0.0, 0.0, 2823.67082865386)
(0.0, 0.0, -2387.9140911939185)	(0.0, 0.0, 2418.7559000198694)
(0.0, 0.0, -2035.8512282817508)	(0.0, 0.0, 2286.9276384829645)
(0.0, 0.0, -2261.261602931667)	(0.0, 0.0, 2089.874068184688)
(0.0, 0.0, -2386.1204825341506)	(0.0, 0.0, 2016.5671882508534)
(0.0, 0.0, -2548.9097427395222)	(0.0, 0.0, 1959.5423717030314)
(0.0, 0.0, -1724.0644910834146)	(0.0, 0.0, 1697.937826451265)
(0.0, 0.0, -1416.5570288571469)	(0.0, 0.0, 2121.307965078256)
(0.0, 0.0, -1924.949776322365)	(0.0, 0.0, 2128.913515527992)
(0.0, 0.0, -1254.4276714590417)	(0.0, 0.0, 1440.2278045004132)
(0.0, 0.0, -1561.8263418016093)	(0.0, 0.0, 1725.892645542464)
(0.0, 0.0, -1579.4865443566064)	(0.0, 0.0, 1807.2636387366279)
(0.0, 0.0, -1687.873248041613)	(0.0, 0.0, 1248.3435540678938)
(0.0, 0.0, -1052.5729337279856)	(0.0, 0.0, 773.3555744506377)
(0.0, 0.0, -1325.4644978023089)	(0.0, 0.0, 1116.617607375461)
(0.0, 0.0, -781.9566179804704)	(0.0, 0.0, 1673.1764281202716)
(0.0, 0.0, -1488.8590594131538)	(0.0, 0.0, 1305.9150426254373)
(0.0, 0.0, -928.7367532105492)	(0.0, 0.0, 1384.1772290788542)
(0.0, 0.0, -1338.7552246426512)	(0.0, 0.0, 1407.0040863715535)
(0.0, 0.0, -1018.6392674237284)	(0.0, 0.0, 898.8948016081021)
(0.0, 0.0, -849.401660843235)	(0.0, 0.0, 1458.7498173515492)
(0.0, 0.0, -1023.9896453769587)	(0.0, 0.0, 1794.9606746365084)
(0.0, 0.0, -180.2100435699514)	(0.0, 0.0, 1077.5597041436163)
(0.0, 0.0, -679.9815690993721)	(0.0, 0.0, 1475.469050897175)
(0.0, 0.0, -995.2585344163695)	(0.0, 0.0, 1447.7026402167926)
(0.0, 0.0, -978.9767808157432)	(0.0, 0.0, 1182.3205453183307)
(0.0, 0.0, -844.9038949432947)	(0.0, 0.0, 640.0885951650334)
(0.0, 0.0, -1173.3833796408085)	(0.0, 0.0, 916.5943215185943)
(0.0, 0.0, -905.9422320781263)	(0.0, 0.0, 1100.779929334833)
(0.0, 0.0, -1078.7936229626812)	(0.0, 0.0, 393.6120355845701)
(0.0, 0.0, -110.45811997442685)	(0.0, 0.0, 552.4986349277603)
(0.0, 0.0, -865.6028291547303)	(0.0, 0.0, 785.1505725363367)
(0.0, 0.0, -1507.9696379581285)	(0.0, 0.0, 1152.2011595756792)
(0.0, 0.0, -1133.4334091823428)	(0.0, 0.0, 943.5859677087392)
(0.0, 0.0, -337.0283146776636)	(0.0, 0.0, 886.9304876455205)
(0.0, 0.0, -927.0898749196233)	(0.0, 0.0, 313.6237050190986)
(0.0, 0.0, -514.9851220407079)	(0.0, 0.0, 738.1048289779799)
(0.0, 0.0, -1080.382000098233)	(0.0, 0.0, 1292.6709745312462)
(0.0, 0.0, -366.1093968488581)	(0.0, 0.0, 1129.9066479092012)
(0.0, 0.0, -394.45292541353365)	(0.0, 0.0, 854.0646569709736)
(0.0, 0.0, -698.4455652267143)	(0.0, 0.0, 762.4706700168863)
(0.0, 0.0, -1190.4242631980649)	(0.0, 0.0, 470.1689543629304)
(0.0, 0.0, -783.9400752307818)	(0.0, 0.0, 165.31962222546386)
(0.0, 0.0, -205.63390303644636)	(0.0, 0.0, 460.96849255603354)
(0.0, 0.0, -714.3359918284838)	(0.0, 0.0, 851.1436856819304)
(0.0, 0.0, -563.542693189676)	(0.0, 0.0, 370.0013469292418)
(0.0, 0.0, -884.0280740874502)	(0.0, 0.0, 704.7139329058151)
(0.0, 0.0, -1104.6329750671582)	(0.0, 0.0, 924.7637619187287)
(0.0, 0.0, -1105.8039155086988)	(0.0, 0.0, 501.44525455525553)
(0.0, 0.0, -948.5126619150119)	(0.0, 0.0, 520.5730780699026)
(0.0, 0.0, -705.4387643476379)	(0.0, 0.0, 822.9649995217678)
(0.0, 0.0, -2.2262697691755573)	(0.0, 0.0, 1291.6159187383641)
(0.0, 0.0, -874.2130894248706)	(0.0, 0.0, 919.2514335159752)
(0.0, 0.0, -196.22637598721002)	(0.0, 0.0, 325.64762560295765)
(0.0, 0.0, -622.809676200883)	(0.0, 0.0, 789.3818291522239)
(0.0, 0.0, -127.35042040346693)	(0.0, 0.0, 527.8638906907091)
(0.0, 0.0, -664.5011302202374)	(0.0, 0.0, 344.15821554888885)
(0.0, 0.0, -468.76377797222307)	(0.0, 0.0, 621.6009072126692)
(0.0, 0.0, -854.2853602066003)	(0.0, 0.0, 382.5216354448965)
(0.0, 0.0, -1169.3244665346972)	(0.0, 0.0, 712.3674277869799)
(0.0, 0.0, -516.3518165963185)	(0.0, 0.0, 704.7514215152439)
(0.0, 0.0, -710.4190033604153)	(0.0, 0.0, 907.1808643258953)
(0.0, 0.0, -293.1862816068834)	(0.0, 0.0, 290.70233641041364)
(0.0, 0.0, -554.919170794797)	(0.0, 0.0, 645.7301082299123)
(0.0, 0.0, -250.092931811976)	(0.0, 0.0, 388.47824442914197)
(0.0, 0.0, -467.2169237595431)	(0.0, 0.0, 544.6036574666255)
(0.0, 0.0, -161.7281048737645)	(0.0, 0.0, 86.13932003555033)
(0.0, 0.0, -685.6300524120886)	(0.0, 0.0, 498.93556082938113)
(0.0, 0.0, -109.06760216632321)	(0.0, 0.0, 860.9012359832825)
(0.0, 0.0, -377.9511794162052)	(0.0, 0.0, 407.4438250846853)
(0.0, 0.0, -127.97071509911477)	(0.0, 0.0, 601.5884334227119)
(0.0, 0.0, -223.35864302909678)	(0.0, 0.0, 727.0275455944679)
(0.0, 0.0, -621.1671467184982)	(0.0, 0.0, 938.5943551639473)
(0.0, 0.0, -211.22944363827662)	(0.0, 0.0, 0.4652428894121279)
(0.0, 0.0, -9.450634582588034)	(0.0, 0.0, 643.0540017083138)
(0.0, 0.0, 123.94855071723806)	(0.0, 0.0, 464.40201102549094)
(0.0, 0.0, 160.03139048718305)	(0.0, 0.0, 100.83651437476641)
(0.0, 0.0, -907.5942342403343)	(0.0, 0.0, 545.5308532794237)
(0.0, 0.0, -208.86494509426015)	(0.0, 0.0, 444.5109870848948)
(0.0, 0.0, -340.740682455659)	(0.0, 0.0, 196.85405154766818)
(0.0, 0.0, -707.9190865917315)	(0.0, 0.0, 540.6504932422819)
(0.0, 0.0, 38.53362534902999)	(0.0, 0.0, 242.4167131591508)
(0.0, 0.0, -1007.5883082844143)	(0.0, 0.0, 585.6794530724545)
(0.0, 0.0, -528.9890258942971)	(0.0, 0.0, 160.86333946037183)
(0.0, 0.0, -623.9058140015873)	(0.0, 0.0, 382.7095440491017)
(0.0, 0.0, -664.427234693862)	(0.0, 0.0, 527.4687977105286)
(0.0, 0.0, 426.9180652110549)	(0.0, 0.0, 945.8220628279686)
(0.0, 0.0, 459.4149854029667)	(0.0, 0.0, 422.69122051833847)
(0.0, 0.0, -180.1706294394455)	(0.0, 0.0, 516.2209739777255)
(0.0, 0.0, -83.89095367612781)	(0.0, 0.0, 435.51508216272583)
(0.0, 0.0, -520.0273128438549)	(0.0, 0.0, 318.6030055908583)
(0.0, 0.0, -77.11206386179066)	(0.0, 0.0, 178.45202819653247)
(0.0, 0.0, -164.80557490827596)	(0.0, 0.0, 170.3155419895141)
(0.0, 0.0, 58.79601409182828)	(0.0, 0.0, -60.15594026771393)
(0.0, 0.0, -240.08282052710032)	(0.0, 0.0, 289.1337528426593)
(0.0, 0.0, 535.3099032505074)	(0.0, 0.0, 662.2278281568108)
(0.0, 0.0, 60.310970791473245)	(0.0, 0.0, -14.199509751274269)
(0.0, 0.0, -127.02616811342416)	(0.0, 0.0, -403.12688207068095)
